Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,141,175,1,7.07107,1,1,1
C01,accepted,221,168,36,73,147,1,7.2111,1,1,1
C02,rejected,0,188,165,77,160,1,8.24621,1,1,1
C03,accepted,174,149,249,98,111,1,9.84886,1,1,1
C04,rejected,249,67,158,115,54,1,8.48528,1,1,1
C05,accepted,135,198,53,156,60,1,12.1655,1,1,1
C06,accepted,156,173,255,154,97,1,9.21954,1,1,1
C07,rejected,234,104,209,98,203,1,10.2956,1,1,1
C08,accepted,249,237,50,135,104,1,7.07107,1,1,1
C09,accepted,38,170,225,127,145,1,14,1,1,1
C10,rejected,244,44,82,190,101,1,8.06226,1,1,1
C11,accepted,221,168,36,196,79,1,15.2971,1,1,1
C12,accepted,0,188,165,259,171,1,11.0454,1,1,1
C13,rejected,174,149,249,263,162,1,9.84886,1,1,1
C14,accepted,249,67,158,239,169,1,14.5602,1,1,1
C15,accepted,135,198,53,135,116,1,9.21954,1,1,1
C16,accepted,156,173,255,153,170,1,10.0499,1,1,1
C17,rejected,234,104,209,247,206,1,10.0499,1,1,1
C18,accepted,249,237,50,115,230,1,6.08276,1,1,1
C19,accepted,38,170,225,257,27,1,8.06226,1,1,1
