Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,101,149,1,12.0416,1,1,1
C01,accepted,221,168,36,85,91,1,15.6525,1,1,1
C02,accepted,0,188,165,319,189,1,15,1,1,1
C03,accepted,174,149,249,165,255,1,20.6155,1,1,1
C04,accepted,249,67,158,57,238,1,9.43398,1,1,1
C05,accepted,135,198,53,202,73,1,13.3417,1,1,1
C06,accepted,156,173,255,327,234,1,15.8114,1,1,1
C07,accepted,234,104,209,288,63,1,10.198,1,1,1
C08,accepted,249,237,50,286,107,1,18.3576,1,1,1
C09,accepted,38,170,225,161,304,1,9.05539,1,1,1
C10,rejected,244,44,82,196,140,1,11.4018,1,1,1
C11,accepted,221,168,36,287,123,1,13,1,1,1
