Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,249,240,1,17.8045,1,1,1
C01,accepted,221,168,36,65,225,1,15.8114,1,1,1
C02,accepted,0,188,165,93,254,1,11.1803,1,1,1
C03,accepted,174,149,249,258,246,1,15.2971,1,1,1
C04,accepted,249,67,158,117,113,1,11.3137,1,1,1
C05,accepted,135,198,53,87,274,1,14.8661,1,1,1
C06,accepted,156,173,255,229,112,1,14.1421,1,1,1
C07,rejected,234,104,209,125,274,1,17.1172,1,1,1
C08,rejected,249,237,50,145,114,1,14.5602,1,1,1
C09,accepted,38,170,225,161,112,1,10.4403,1,1,1
C10,accepted,244,44,82,288,247,1,20.6155,1,1,1
C11,accepted,221,168,36,239,180,1,12.8062,1,1,1
C12,accepted,0,188,165,206,311,1,19.6977,1,1,1
C13,rejected,174,149,249,151,74,1,13.1529,1,1,1
C14,accepted,249,67,158,168,254,1,12.0416,1,1,1
C15,accepted,135,198,53,159,207,1,13.4164,1,1,1
C16,accepted,156,173,255,257,85,1,16.2788,1,1,1
C17,rejected,234,104,209,286,149,1,12.083,1,1,1
C18,rejected,249,237,50,272,188,1,8.94427,1,1,1
C19,accepted,38,170,225,206,116,1,16.1245,1,1,1
C20,accepted,244,44,82,224,98,1,13.3417,1,1,1
C21,accepted,221,168,36,212,186,1,11.0454,1,1,1
C22,rejected,0,188,165,126,247,1,14.0357,1,1,1
C23,rejected,174,149,249,313,192,1,11.1803,1,1,1
