Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,213,32,1,16.0312,1,1,1
C01,accepted,221,168,36,78,150,1,11.4018,1,1,1
C02,accepted,0,188,165,188,234,1,10.198,1,1,1
C03,accepted,174,149,249,114,103,1,11.4018,1,1,1
C04,accepted,249,67,158,64,158,1,13.6015,1,1,1
C05,accepted,135,198,53,199,206,1,16.4924,1,1,1
C06,accepted,156,173,255,160,160,1,14.5602,1,1,1
C07,accepted,234,104,209,217,158,1,12.0416,1,1,1
C08,accepted,249,237,50,125,275,1,14.1421,1,1,1
C09,accepted,38,170,225,149,72,1,17.6918,1,1,1
C10,accepted,244,44,82,218,311,1,19.0263,1,1,1
C11,accepted,221,168,36,176,116,1,12.3693,1,1,1
C12,accepted,0,188,165,279,156,1,20,1,1,1
