Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,175,63,1,11.1803,1,1,1
C01,accepted,221,168,36,183,202,1,11,1,1,1
C02,accepted,0,188,165,147,127,1,8.06226,1,1,1
C03,accepted,174,149,249,172,202,1,10.0499,1,1,1
C04,rejected,249,67,158,236,110,1,8,1,1,1
C05,accepted,135,198,53,178,107,1,10.6301,1,1,1
C06,accepted,156,173,255,157,130,1,10.198,1,1,1
C07,accepted,234,104,209,119,125,1,11.0454,1,1,1
C08,accepted,249,237,50,95,169,1,9.84886,1,1,1
C09,rejected,38,170,225,123,204,1,9.8995,1,1,1
C10,accepted,244,44,82,158,108,1,10,1,1,1
C11,accepted,221,168,36,318,215,1,17.2627,1,1,1
C12,accepted,0,188,165,245,121,1,17.8045,1,1,1
C13,accepted,174,149,249,221,93,1,15,1,1,1
C14,rejected,249,67,158,97,186,1,7.61577,1,1,1
C15,accepted,135,198,53,290,200,1,12.0416,1,1,1
