Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1
C00,accepted,244,44,82,301,209,1,9.8995,1,1
C01,accepted,221,168,36,171,140,1,10.198,1,1
C02,accepted,0,188,165,194,115,1,13.0384,1,1
C03,accepted,174,149,249,168,168,1,14.8661,1,1
C04,accepted,249,67,158,138,126,1,12.3693,1,1
C05,accepted,135,198,53,194,73,1,13.1529,1,1
C06,accepted,156,173,255,112,187,1,12.1655,1,1
C07,accepted,234,104,209,107,172,1,11.4018,1,1
C08,accepted,249,237,50,330,223,1,14.5602,1,1
C09,accepted,38,170,225,242,105,1,9.48683,1,1
C10,accepted,244,44,82,196,209,1,14.0357,1,1
C11,accepted,221,168,36,262,136,1,9,1,1
C12,accepted,0,188,165,163,132,1,11.4018,1,1
C13,accepted,174,149,249,184,211,1,10.6301,1,1
C14,rejected,249,67,158,136,219,1,10.198,1,1
